"date_time","uni_meteo"
2022-12-11 10:00:00,-3.070671
2022-12-11 11:00:00,-2.639385
2022-12-11 12:00:00,-1.725108
2022-12-11 13:00:00,-0.3880416
2022-12-11 14:00:00,-1.471429
2022-12-11 15:00:00,-2.059539
2022-12-11 16:00:00,-2.189785
2022-12-11 17:00:00,-2.520288
2022-12-11 18:00:00,-2.840087
2022-12-11 19:00:00,-3.462634
2022-12-11 20:00:00,-4.115764
2022-12-11 21:00:00,-4.467978
2022-12-11 22:00:00,-4.589989
2022-12-11 23:00:00,-4.950735
2022-12-12 00:00:00,-5.080329
2022-12-12 01:00:00,-5.051743
2022-12-12 02:00:00,-5.965429
2022-12-12 03:00:00,-6.408105
2022-12-12 04:00:00,-6.641414
2022-12-12 05:00:00,-6.911887
2022-12-12 06:00:00,-6.636102
2022-12-12 07:00:00,-6.349211
2022-12-12 08:00:00,-6.46658
2022-12-12 09:00:00,-6.864787
2022-12-12 10:00:00,-6.505208
2022-12-12 11:00:00,-5.887458
2022-12-12 12:00:00,-5.1606
2022-12-12 13:00:00,-4.946812
2022-12-12 14:00:00,-4.709947
2022-12-12 15:00:00,-4.236019
2022-12-12 16:00:00,-4.215596
2022-12-12 17:00:00,-4.653959
2022-12-12 18:00:00,-5.096144
2022-12-12 19:00:00,-5.13359
2022-12-12 20:00:00,-5.842604
2022-12-12 21:00:00,-6.168672
2022-12-12 22:00:00,-5.864932
2022-12-12 23:00:00,-5.632204
2022-12-13 00:00:00,-5.539572
2022-12-13 01:00:00,-5.983845
2022-12-13 02:00:00,-6.392283
2022-12-13 03:00:00,-6.121738
2022-12-13 04:00:00,-6.238309
2022-12-13 05:00:00,-6.282479
2022-12-13 06:00:00,-6.175267
2022-12-13 07:00:00,-6.472689
2022-12-13 08:00:00,-6.547093
2022-12-13 09:00:00,-6.442184
2022-12-13 10:00:00,-6.266809
2022-12-13 11:00:00,-5.621343
2022-12-13 12:00:00,-4.881783
2022-12-13 13:00:00,-4.626564
2022-12-13 14:00:00,-4.561198
2022-12-13 15:00:00,-4.255079
2022-12-13 16:00:00,-3.976516
2022-12-13 17:00:00,-3.827242
2022-12-13 18:00:00,-3.643767
2022-12-13 19:00:00,-3.522916
2022-12-13 20:00:00,-3.297714
2022-12-13 21:00:00,-3.056254
2022-12-13 22:00:00,-3.003824
2022-12-13 23:00:00,-2.932732
2022-12-14 00:00:00,-2.872574
2022-12-14 01:00:00,-2.721529
2022-12-14 02:00:00,-2.401255
2022-12-14 03:00:00,-2.084461
2022-12-14 04:00:00,-2.040569
2022-12-14 05:00:00,-2.134373
2022-12-14 06:00:00,-1.774032
2022-12-14 07:00:00,-1.641535
2022-12-14 08:00:00,-1.644218
2022-12-14 09:00:00,-1.559824
2022-12-14 10:00:00,-1.432818
2022-12-14 11:00:00,-1.06854
2022-12-14 12:00:00,-0.6637208
2022-12-14 13:00:00,-0.4201583
2022-12-14 14:00:00,-0.3295291
2022-12-14 15:00:00,-0.1466958
2022-12-14 16:00:00,0.007943055
2022-12-14 17:00:00,0.03414861
2022-12-14 18:00:00,-0.03237361
2022-12-14 19:00:00,-0.02672639
2022-12-14 20:00:00,0.1375458
2022-12-14 21:00:00,0.3479903
2022-12-14 22:00:00,0.1979014
2022-12-14 23:00:00,-0.05204444
2022-12-15 00:00:00,-0.231775
2022-12-15 01:00:00,-0.5828319
2022-12-15 02:00:00,-0.7343042
2022-12-15 03:00:00,-0.8173416
2022-12-15 04:00:00,-0.863936
2022-12-15 05:00:00,-0.9034042
2022-12-15 06:00:00,-1.030613
2022-12-15 07:00:00,-1.144365
2022-12-15 08:00:00,-1.378376
2022-12-15 09:00:00,-1.682512
2022-12-15 10:00:00,-1.550414
2022-12-15 11:00:00,-1.319251
2022-12-15 12:00:00,-1.376103
2022-12-15 13:00:00,-1.24195
2022-12-15 14:00:00,-1.068965
2022-12-15 15:00:00,-1.106683
2022-12-15 16:00:00,-1.079594
2022-12-15 17:00:00,-1.226394
2022-12-15 18:00:00,-1.284747
2022-12-15 19:00:00,-1.285151
2022-12-15 20:00:00,-1.253343
